"","x1","x2","y"
"1",1,0.840207631699741,-1.00276821654241
"2",2,4.03758199536242,-5.79151442760458
"3",3,1.92471175687388,1.24999897924684
"4",4,1.63867158582434,0.939828294353859
"5",5,3.0105033738073,-4.30507471762053
"6",6,3.02197027020156,0.735338647360649
"7",7,0.623167221201584,8.83403923057969
"8",8,1.47300462122075,7.0364164846467
"9",9,2.88804959505796,3.80885550620333
"10",10,3.15489637199789,1.83105165011494
"11",11,2.56007948773913,6.73079256375363
"12",12,2.52511957078241,9.02535726511693
"13",13,2.67017676727846,7.06597372645315
"14",14,2.7862471784465,5.68269092466794
"15",15,4.33959743822925,5.56873014705732
"16",16,4.14854346658103,7.1273833442758
"17",17,0.557245766976848,16.7073364371509
"18",18,3.51844179444015,12.8424443077977
"19",19,4.48744132183492,5.94848861739667
"20",20,1.39866276877001,18.50088712605
"21",21,1.14100940641947,15.046169633706
"22",22,0.0766494625713676,23.4456410542294
"23",23,0.644907793030143,25.3270066038273
"24",24,0.466909642564133,23.6881791197867
"25",25,1.18442503735423,21.6483922568596
"26",26,3.95573704736307,17.5864666613733
"27",27,2.99865782842971,18.3851447109804
"28",28,4.55073855468072,16.8819545678683
"29",29,2.80212276964448,19.1191042699994
"30",30,3.77852384583093,17.8415781908895
"31",31,1.89585945568979,26.4053191793737
"32",32,1.86640488449484,26.3298027957794
"33",33,0.851453214418143,35.1699261432641
"34",34,2.26653661811724,31.0353036195983
"35",35,1.29206980229355,31.5535062709657
"36",36,1.68132976163179,34.1030470613992
"37",37,4.44791517336853,27.49264689537
"38",38,1.00973149412312,37.4833800636021
"39",39,2.89593021385372,33.016142470314
"40",40,1.0381601494737,41.2341942657701
"41",41,1.40734396176413,37.8162753641292
"42",42,3.93140602041967,31.3681224944698
"43",43,0.86509674671106,44.3149353663075
"44",44,2.85373759106733,34.8607740049023
"45",45,2.09641481633298,41.0831504171511
"46",46,1.33811082574539,43.9230165188694
"47",47,0.239047209033743,49.2170529925919
"48",48,0.517465269658715,50.495999539433
"49",49,1.57015727832913,46.8242450694814
"50",50,4.00320531101897,40.4540362726635
