"","x1","y","x2"
"1",3.86323498794809,12,"1"
"2",0.625626191031188,30,"1"
"3",4.44105461821891,13,"1"
"4",1.5467338101007,14,"0"
"5",3.24636479723267,15,"0"
"6",1.31197193055414,32,"1"
"7",0.80781695432961,18,"0"
"8",0.527534816646948,19,"0"
"9",2.18840196263045,9,"0"
"10",0.192603730829433,18,"1"
"11",4.7933848714456,12,"0"
"12",2.53871067310683,16,"1"
"13",1.81153640034609,8,"0"
"14",4.39739140449092,16,"1"
"15",3.77237545792013,26,"1"
"16",3.79754626657814,17,"1"
"17",4.44800235214643,14,"1"
"18",0.901750902412459,29,"1"
"19",3.93244260223582,15,"1"
"20",2.73687349865213,15,"0"
"21",2.48722914722748,19,"1"
"22",0.543904872611165,16,"0"
"23",2.93366819736548,13,"0"
"24",4.48661280446686,9,"0"
"25",0.938419189769775,20,"0"
"26",2.64986401889473,15,"0"
"27",3.34972318029031,17,"1"
"28",3.91463136649691,9,"0"
"29",0.938518858747557,29,"1"
"30",2.83200429752469,25,"1"
"31",0.983013983350247,20,"0"
"32",1.53704755473882,26,"1"
"33",0.805442221462727,13,"0"
"34",0.491597300861031,35,"1"
"35",1.28781352424994,33,"1"
"36",1.70805996051058,32,"1"
"37",4.27023165277205,11,"0"
"38",0.619650585576892,29,"1"
"39",1.73971850075759,18,"1"
"40",1.6210618999321,17,"0"
"41",2.35931732109748,26,"1"
"42",4.25598380039446,9,"0"
"43",1.61011222517118,12,"0"
"44",2.79078666120768,12,"0"
"45",3.52857297984883,14,"1"
"46",1.95368697750382,27,"1"
"47",4.12118695792742,11,"1"
"48",4.53265711665154,18,"1"
"49",2.0855852146633,30,"1"
"50",1.39566004276276,18,"1"
